Symbol,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
FTNT,daily,2021-12-17,48309500,2020-05-07,26798000,2020-03-24,26132500,2020-03-19,23454000,2020-03-09,19401000,2020-02-28,17831500,2020-02-27,17768000,2020-01-31,14243500,2020-01-06,7369000,2020-01-03,6641000
CDW,daily,2021-12-17,8374300,2020-02-28,2984800,2020-01-17,2357000,2020-01-13,1364500,2020-01-02,1333700,,,,,,,,,,
APP,daily,2021-12-03,29157000,2021-04-15,11444400,,,,,,,,,,,,,,,,
ADSK,daily,2021-11-24,10904600,2021-08-26,5486100,2020-03-12,5014100,2020-02-28,4339600,2020-02-26,2850100,2020-01-24,2437200,2020-01-17,2384900,2020-01-16,2195900,2020-01-02,1515000,,
QCOM,daily,2021-11-04,48321500,2021-02-04,46141800,2020-07-30,42122500,2020-05-15,29597800,2020-01-17,23694400,2020-01-13,10367800,2020-01-10,9668300,2020-01-09,9155500,2020-01-02,8413900,,
XEL,daily,2021-10-15,15991200,2021-04-16,12014700,2020-03-09,9885200,2020-02-28,7762100,2020-01-10,5295900,2020-01-08,4828900,2020-01-02,2915400,,,,,,
ADI,daily,2021-08-25,19156400,2020-07-13,14320000,2020-03-12,8483800,2020-02-28,6033200,2020-02-19,4598900,2020-01-29,3500900,2020-01-27,2737800,2020-01-21,2548400,2020-01-17,2303300,2020-01-07,2214700
MU,daily,2021-08-12,72492400,2020-03-26,62450700,2020-03-25,54091000,2020-01-07,49908200,2020-01-02,20173200,,,,,,,,,,
AZN,daily,2021-07-20,65540200,2020-07-20,56346600,2020-07-17,24319500,2020-05-21,20428200,2020-03-13,11898000,2020-03-10,9144800,2020-02-14,6665400,2020-01-30,5974200,2020-01-24,4466500,2020-01-02,3587300
HON,daily,2021-07-20,29959563,2020-08-28,13805520,2020-06-26,10880873,2020-02-28,10141144,2020-01-31,5835500,2020-01-06,3477852,2020-01-02,3031701,,,,,,
BIIB,daily,2021-06-07,17954100,2020-11-04,14591500,2020-02-05,10159200,2020-01-16,2800000,2020-01-14,2112600,2020-01-13,1401100,2020-01-06,1271000,2020-01-02,1178300,,,,
TTD,daily,2021-05-10,87309000,2020-05-08,52253000,2020-02-28,52216000,2020-02-27,33457000,2020-02-05,28377000,2020-02-04,25938000,2020-01-27,23745000,2020-01-13,23046000,2020-01-02,22197000,,
