Symbol,market_cap,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
SMP,904556985.8757548,monthly,2023-12-01,5539800,2021-03-01,5035000.0,2020-12-01,4488900.0,2020-06-01,3683200.0,2020-03-01,3137800.0,2020-02-01,1891500.0,,,,,,,,
GLP,1580813935.5565178,monthly,2023-12-01,12292500,2022-12-01,6584200.0,2020-03-01,6210700.0,2020-02-01,2543800.0,,,,,,,,,,,,
SPH,1153705713.4574714,monthly,2023-12-01,29612200,2020-03-01,11098600.0,2020-02-01,5764800.0,,,,,,,,,,,,,,
ZTR,377729120.0,monthly,2023-10-01,10622200,2023-09-01,9987800.0,2020-03-01,8731000.0,2020-02-01,4691100.0,,,,,,,,,,,,
LUCK,1233126489.9856024,monthly,2023-09-01,52594300,2023-05-01,51567000.0,2023-03-01,43276800.0,2022-06-01,29468300.0,2022-03-01,12945600.0,2022-02-01,10410500.0,2021-12-01,9784100.0,2021-07-01,9338200.0,2021-06-01,1143100.0,2021-04-01,133200.0
NTGR,613023400.2212467,monthly,2023-09-01,18841300,2020-04-01,11585000.0,2020-03-01,10057600.0,2020-02-01,8346300.0,,,,,,,,,,,,
ANGO,553673421.8594435,monthly,2023-09-01,23939900,2022-12-01,12927600.0,2022-10-01,12896800.0,2022-01-01,10258900.0,2021-01-01,8178500.0,2020-03-01,7925900.0,2020-02-01,4764600.0,,,,,,
GNL,1907383061.461794,monthly,2023-09-01,77937500,2023-05-01,28140400.0,2021-12-01,22495100.0,2020-03-01,20344000.0,2020-02-01,10492900.0,,,,,,,,,,
NSSC,1332272327.4315877,monthly,2023-08-01,31350300,2023-05-01,13711700.0,2023-03-01,12178000.0,2020-02-01,10883000.0,,,,,,,,,,,,
RA,705602519.0,monthly,2023-08-01,13628400,2020-03-01,12993300.0,2020-02-01,5041600.0,,,,,,,,,,,,,,
